,RERA,BHK_NO.,SQUARE_FT,ADDRESS,TARGET(PRICE_IN_LACS)
28584,1,3,1514.849512,Ghaziabad,76.0
11422,1,3,1514.233798,Gurgaon,100.0
12864,0,3,1514.004542,Bangalore,80.0
8605,1,3,1513.866232,Ghaziabad,46.4
136,0,3,1513.775356,Bangalore,100.0
13790,0,3,1512.8593039999998,Bangalore,140.0
1856,0,3,1512.738854,Jaipur,57.0
20177,0,3,1512.651265,Maharashtra,110.0
26622,1,3,1512.5,Jaipur,48.4
470,0,3,1512.401694,Pune,100.0
10702,0,3,1512.287335,Chennai,120.0
26925,0,3,1512.235359,Bangalore,55.0
18687,0,3,1512.186444,Kolkata,85.0
17550,0,3,1512.096774,Bangalore,90.0
22032,0,3,1512.096774,Pune,90.0
5289,0,3,1512.027491,Kolkata,88.0
3296,0,2,1511.97953,Dharuhera,65.0
24188,1,2,1511.97953,Pune,130.0
17955,0,3,1511.9697609999998,Bangalore,72.0
27800,1,3,1511.87905,Chennai,140.0
4922,0,3,1511.803698,Lalitpur,130.0
17247,1,3,1511.783015,Dharuhera,34.0
5437,1,3,1511.404232,Pune,110.0
23112,1,3,1511.254019,Indore,47.0
4444,0,3,1511.144692,Pune,120.0
19432,0,3,1511.144692,Noida,80.0
9535,1,3,1511.030523,Nagpur,50.0
479,1,3,1510.989011,Bangalore,110.0
27969,0,3,1510.574018,Jaipur,35.0
1117,0,4,1510.45701,Vadodara,39.0
20860,0,3,1510.366607,Pune,110.0
14777,0,3,1510.333863,Chandigarh,38.0
18441,0,3,1510.269835,Bangalore,75.0
22194,0,3,1510.269835,Kolkata,75.0
20292,0,3,1510.269835,Ghaziabad,75.0
9014,0,3,1510.269835,Bangalore,75.0
5666,0,3,1510.269835,Patna,75.0
18261,1,2,1510.248112,Ghaziabad,70.0
1462,0,3,1510.211086,Bangalore,88.0
12905,1,3,1510.204082,Bhubaneswar,62.9
379,0,3,1510.159253,Bangalore,110.0
29003,1,3,1510.093785,Bangalore,95.0
14957,0,3,1510.067114,Mangalore,63.0
20104,0,3,1510.067114,Lalitpur,180.0
12395,0,3,1510.067114,Nellore,45.0
17668,0,3,1510.023431,Bangalore,58.0
25710,0,3,1510.019757,Bangalore,53.5
15793,0,3,1510.003775,Vadodara,40.0
11816,0,3,1510.003775,Pune,80.0
27743,0,2,1510.0,Gandhinagar,45.3
14798,0,3,1509.951956,Bangalore,88.0
22984,0,3,1509.892398,Bangalore,87.0
25808,0,3,1509.892398,Bangalore,87.0
26335,0,3,1509.769094,Bangalore,85.0
15942,0,3,1509.73381,Chandigarh,38.0
1646,0,3,1509.718499,Bangalore,90.1
6757,1,3,1509.695291,Bangalore,65.4
23958,0,3,1509.677419,Siliguri,46.8
11285,0,3,1509.153884,Pune,61.0
4534,0,3,1509.123337,Kolkata,110.0
3098,0,2,1508.750754,Bangalore,100.0
19275,1,3,1508.709368,Bangalore,110.0
23677,1,3,1508.62069,Bhopal,35.0
1275,1,3,1508.523156,Gurgaon,100.0
10111,0,3,1508.333333,Bangalore,90.5
9070,1,3,1508.12065,Pune,130.0
3830,1,3,1508.12065,Bangalore,130.0
18942,0,3,1508.068165,Noida,100.0
28999,1,4,1507.675439,Gurgaon,110.0
2859,0,2,1507.348323,Bangalore,120.0
20133,0,2,1507.078703,Bangalore,99.0
4083,1,3,1507.0557609999998,Bangalore,110.0
9591,0,3,1506.906656,Goa,72.0
6604,0,3,1506.740682,Valsad,19.0
23075,0,3,1506.642926,Bangalore,110.0
12998,0,3,1506.642926,Mumbai,110.0
28464,0,3,1505.757307,Lalitpur,170.0
10265,0,3,1505.721743,Bangalore,75.0
3156,0,3,1505.445227,Surat,47.0
12649,1,3,1505.32654,Noida,65.0
2374,1,3,1505.26844,Noida,60.0
4666,0,3,1505.263158,Durgapur,28.6
11597,1,3,1505.174036,Noida,80.0
8739,1,3,1505.154639,Noida,73.0
289,1,3,1505.144771,Chandigarh,62.9
28560,0,3,1505.117399,Bangalore,100.0
19753,0,3,1505.086153,Secunderabad,72.5
4105,0,2,1505.069708,Ghaziabad,95.0
26384,1,3,1505.0505050000002,Noida,74.5
565,1,3,1505.011565,Bangalore,97.6
14662,0,3,1504.890895,Bangalore,100.0
3727,0,3,1504.8469,Kolkata,97.8
16339,1,3,1504.802561,Noida,70.5
20058,1,3,1504.718184,Chandigarh,59.0
16016,1,3,1504.651163,Chandigarh,64.7
22597,1,3,1504.651163,Chandigarh,64.7
2570,1,3,1504.651163,Chandigarh,64.7
28704,1,3,1504.615385,Bangalore,97.8
15977,1,3,1504.065041,Bangalore,74.0
24786,1,3,1503.793976,Bangalore,65.4
11632,0,3,1503.436426,Bhubaneswar,70.0
1241,1,3,1503.358356,Bangalore,76.1
21338,0,3,1503.358356,Bangalore,76.1
2360,0,3,1503.225806,Siliguri,46.6
390,1,3,1503.225806,Jaipur,46.6
17930,0,3,1503.208066,Kolkata,82.0
22167,1,3,1503.194288,Noida,80.0
11856,1,3,1503.179803,Noida,78.0
5030,0,3,1503.142935,Pune,110.0
22449,1,3,1503.081317,Gurgaon,100.0
17926,0,3,1503.0060119999998,Bangalore,90.0
7657,1,3,1502.222222,Noida,67.6
27899,1,3,1502.183406,Pune,86.0
6774,1,3,1502.171338,Bangalore,76.1
27102,1,3,1502.145923,Surat,35.0
27209,0,3,1502.093081,Lucknow,61.0
1153,0,3,1502.0576130000002,Lucknow,73.0
22484,0,3,1502.0,Kolkata,75.1
897,1,3,1501.812532,Pune,87.0
28152,0,3,1501.305483,Kolkata,46.0
8700,1,3,1501.123596,Chennai,66.8
28265,0,3,1501.0917029999998,Pune,110.0
24849,0,3,1501.072194,Bangalore,84.0
13250,1,4,1500.890359,Vadodara,59.0
4358,0,2,1500.750375,Kolkata,60.0
11435,0,3,1500.535906,Raipur,28.0
5728,1,3,1500.508647,Vadodara,29.5
13966,0,3,1500.484027,Vadodara,31.0
19468,0,3,1500.461681,Jaipur,32.5
14208,0,3,1500.441306,Vadodara,34.0
1035,0,3,1500.375094,Bhopal,40.0
29441,0,3,1500.375094,Faridabad,40.0
9850,0,1,1500.375094,Lalitpur,40.0
13044,0,3,1500.375094,Bhopal,40.0
14928,0,2,1500.375094,Anand,20.0
23351,0,3,1500.375094,Coimbatore,40.0
10164,1,3,1500.364166,Ghaziabad,41.2
4001,0,3,1500.326158,Hosur,46.0
17982,0,2,1500.306185,Kota,49.0
1420,0,3,1500.288517,Mohali,52.0
13110,0,3,1500.288517,Kakinada,52.0
10838,0,3,1500.288517,Vadodara,52.0
29316,1,3,1500.280426,Faridabad,53.5
25399,0,3,1500.272777,Bangalore,55.0
12115,0,3,1500.272777,Mysore,55.0
14665,0,3,1500.272777,Kolkata,55.0
23923,0,3,1500.272777,Vijayawada,55.0
5103,0,2,1500.272777,Bangalore,55.0
24341,0,2,1500.272777,Coimbatore,55.0
22406,0,2,1500.272777,Alwar,55.0
11398,0,3,1500.258665,Mangalore,58.0
6043,0,3,1500.245942,Nagpur,30.5
7614,1,3,1500.245942,Visakhapatnam,61.0
27282,0,2,1500.234412,Vadodara,32.0
20504,0,3,1500.214316,Jamshedpur,70.0
14959,0,4,1500.214316,Jaipur,35.0
24470,0,3,1500.214316,Bahadurgarh,70.0
23960,0,3,1500.214316,Bangalore,70.0
4395,0,3,1500.214316,Bhubaneswar,70.0
13693,0,4,1500.214316,Kolkata,70.0
7351,0,3,1500.214316,Bangalore,70.0
25712,0,2,1500.214316,Bangalore,70.0
2053,0,3,1500.214316,Dehradun,70.0
21413,0,3,1500.214316,Bhilai,35.0
23608,0,3,1500.205508,Ranchi,73.0
26203,0,3,1500.205508,Bangalore,73.0
12309,0,3,1500.203832,Bangalore,73.6
21353,1,3,1500.197394,Jaipur,38.0
12895,0,3,1500.197394,Jaipur,38.0
14425,1,3,1500.187523,Chennai,120.0
15090,1,3,1500.187523,Bangalore,120.0
22900,0,3,1500.182949,Visakhapatnam,41.0
23671,0,3,1500.182949,Bangalore,82.0
17846,0,3,1500.176491,Coimbatore,85.0
2520,0,3,1500.176491,Bangalore,85.0
17808,0,3,1500.176491,Bangalore,85.0
15694,0,3,1500.176491,Bangalore,85.0
5820,0,3,1500.176491,Pune,85.0
18286,0,3,1500.170474,Pune,88.0
14374,0,3,1500.170474,Kanpur,44.0
23206,0,3,1500.170474,Tirupati,44.0
15474,0,2,1500.164853,Amritsar,45.5
10094,0,3,1500.159591,Pune,94.0
26952,0,3,1500.159591,Jodhpur,47.0
23701,0,3,1500.154655,Kanpur,97.0
9919,0,3,1500.150015,Vadodara,50.0
19158,0,2,1500.150015,Bangalore,100.0
27320,0,3,1500.150015,Lalitpur,100.0
10620,0,3,1500.150015,Kolkata,100.0
17083,0,3,1500.150015,Indore,50.0
23999,0,3,1500.150015,Pune,100.0
8301,0,3,1500.150015,Noida,50.0
3408,0,2,1500.150015,Jamnagar,50.0
20630,0,3,1500.150015,Bangalore,100.0
7432,0,3,1500.150015,Mohali,100.0
8267,0,2,1500.150015,Pune,100.0
16372,0,3,1500.150015,Ranchi,50.0
1628,0,3,1500.150015,Bangalore,100.0
28421,0,3,1500.150015,Bangalore,100.0
23041,0,3,1500.150015,Kolkata,100.0
4867,1,3,1500.141523,Faridabad,53.0
14160,0,3,1500.141523,Bangalore,53.0
24458,0,3,1500.133941,Jaipur,56.0
2689,0,3,1500.133941,Jaipur,56.0
4394,0,3,1500.133941,Ghaziabad,56.0
25364,0,3,1500.133941,Secunderabad,56.0
5046,1,3,1500.133941,Faridabad,56.0
3151,0,3,1500.120977,Bangalore,62.0
22014,0,3,1500.115393,Noida,130.0
10651,0,3,1500.115393,Lalitpur,130.0
24814,1,3,1500.115393,Faridabad,65.0
14877,0,3,1500.115393,Bangalore,65.0
14510,1,3,1500.115393,Vadodara,65.0
26540,0,3,1500.115393,Kanpur,65.0
16033,0,3,1500.115393,Bangalore,65.0
15653,0,3,1500.115393,Thrissur,65.0
29215,1,3,1500.115393,Noida,65.0
22837,0,3,1500.115393,Lalitpur,130.0
6794,0,3,1500.115393,Chennai,65.0
20485,0,3,1500.115393,Mysore,65.0
25578,0,3,1500.115393,Visakhapatnam,130.0
24799,0,3,1500.110302,Bangalore,68.0
10390,0,3,1500.110302,Bangalore,68.0
29384,0,3,1500.110302,Kochi,68.0
20546,0,3,1500.110302,Raipur,68.0
20286,0,3,1500.110302,Jaipur,68.0
12694,0,3,1500.110302,Kolkata,68.0
16692,0,3,1500.110302,Jaipur,68.0
3287,0,3,1500.093756,Lucknow,80.0
12307,0,3,1500.093756,Bangalore,80.0
13286,0,3,1500.093756,Mumbai,160.0
13821,0,2,1500.093756,Kanpur,80.0
3363,0,3,1500.093756,Bangalore,160.0
25849,0,3,1500.093756,Bangalore,80.0
10526,0,3,1500.093756,Bangalore,80.0
10600,0,2,1500.087214,Bangalore,86.0
7904,0,3,1500.081526,Bangalore,92.0
11889,0,5,1500.0789519999998,Bangalore,190.0
24273,0,3,1500.0789519999998,Bangalore,95.0
9941,0,3,1500.0789519999998,Noida,95.0
16125,0,3,1500.0789519999998,Pune,190.0
6816,1,3,1500.0789519999998,Bangalore,95.0
29234,0,2,1500.0789519999998,Chandigarh,95.0
11129,0,3,1500.0789519999998,Bangalore,95.0
22073,1,3,1500.068185,Pune,110.0
13798,0,3,1500.068185,Pune,110.0
1483,0,3,1500.068185,Bangalore,110.0
14933,0,3,1500.068185,Bangalore,110.0
17348,0,3,1500.053573,Lalitpur,140.0
1886,0,3,1500.044119,Lalitpur,170.0
1878,0,3,1500.0,Jaipur,42.0
954,1,3,1500.0,Secunderabad,57.0
10356,0,3,1500.0,Bangalore,90.0
1975,0,3,1500.0,Bangalore,90.0
26617,0,2,1500.0,Vadodara,23.1
1972,0,3,1500.0,Mangalore,60.0
8551,0,3,1500.0,Vadodara,36.0
514,0,2,1500.0,Vadodara,48.0
27809,0,3,1500.0,Mohali,45.0
4360,0,3,1500.0,Bhubaneswar,75.0
15824,0,2,1500.0,Bangalore,75.0
3060,1,3,1500.0,Thrissur,81.0
20188,0,2,1500.0,Thrissur,45.0
21662,0,2,1500.0,Bharuch,33.0
16730,1,3,1500.0,Mohali,45.0
6362,0,3,1500.0,Kolkata,60.0
26016,0,3,1500.0,Noida,90.0
21681,0,3,1500.0,Jaipur,75.0
26090,0,3,1500.0,Chennai,75.0
3030,1,3,1500.0,Faridabad,54.0
14113,0,2,1500.0,Vapi,45.0
989,0,3,1500.0,Pune,75.0
12410,0,3,1500.0,Bangalore,60.0
21118,0,3,1500.0,Bangalore,84.0
20910,0,2,1500.0,Bangalore,0.48
16575,0,3,1500.0,Bangalore,96.0
9786,0,3,1500.0,Ghaziabad,36.0
1807,1,3,1500.0,Bahadurgarh,51.0
9779,0,3,1500.0,Nagpur,90.0
23882,0,3,1500.0,Jaipur,60.0
11603,0,3,1500.0,Bhubaneswar,48.0
29304,0,3,1500.0,Bangalore,84.0
13292,0,3,1500.0,Visakhapatnam,60.0
27609,0,3,1500.0,Jaipur,33.0
4485,0,3,1500.0,Mysore,75.0
5583,0,3,1500.0,Bangalore,84.0
17114,1,3,1500.0,Chennai,69.0
4606,0,3,1500.0,Kolkata,78.0
11717,1,3,1500.0,Jaipur,57.6
13205,1,3,1500.0,Faridabad,54.0
17166,0,3,1500.0,Surat,45.0
27536,0,3,1500.0,Mathura,30.0
9432,0,3,1500.0,Surat,45.0
23547,0,3,1500.0,Bangalore,120.0
27345,1,4,1500.0,Chandigarh,30.0
9509,0,3,1500.0,Coimbatore,90.0
27420,0,3,1500.0,Kolkata,150.0
7030,0,2,1500.0,Hubli,27.0
17425,0,3,1500.0,Kochi,45.0
9265,1,3,1500.0,Chennai,69.0
20052,0,2,1500.0,Bangalore,90.0
10929,0,3,1500.0,Jaipur,33.0
28551,0,3,1500.0,Visakhapatnam,37.5
13687,0,3,1500.0,Bangalore,120.0
3155,0,3,1500.0,Panchkula,42.0
1549,1,3,1500.0,Ghaziabad,42.9
1545,0,3,1500.0,Pune,120.0
26794,0,3,1500.0,Dehradun,48.0
13406,0,3,1500.0,Bangalore,84.0
17887,0,3,1500.0,Chennai,75.0
13528,0,1,1500.0,Noida,42.0
3197,0,3,1500.0,Mohali,42.0
6561,0,3,1500.0,Bangalore,84.0
23353,0,3,1500.0,Jamshedpur,54.0
20591,0,3,1500.0,Bangalore,78.0
2902,0,3,1500.0,Kolkata,30.0
20207,0,3,1500.0,Bangalore,84.0
22530,0,3,1500.0,Bangalore,90.0
25479,0,2,1500.0,Nagpur,97.5
5326,1,3,1500.0,Noida,60.6
7730,0,3,1500.0,Maharashtra,150.0
15928,0,2,1500.0,Visakhapatnam,150.0
10584,1,2,1500.0,Jaipur,45.0
15931,0,3,1500.0,Kanpur,90.0
7566,0,3,1500.0,Jaipur,42.0
20703,1,3,1500.0,Pune,96.0
29186,0,3,1500.0,Coimbatore,60.0
18593,0,3,1500.0,Noida,150.0
17806,1,3,1500.0,Ghaziabad,42.3
22101,0,2,1500.0,Bangalore,45.0
18594,0,3,1500.0,Pune,120.0
24759,0,2,1500.0,Vadodara,42.0
8181,0,3,1500.0,Pune,120.0
207,1,2,1500.0,Chennai,150.0
22233,0,3,1500.0,Mumbai,150.0
15643,0,3,1500.0,Bangalore,84.0
18613,1,3,1500.0,Lalitpur,94.5
2261,0,3,1500.0,Secunderabad,60.0
16137,0,2,1500.0,Bhilai,18.0
2202,0,3,1500.0,Jaipur,42.0
8001,0,4,1500.0,Srinagar,90.0
15836,0,3,1500.0,Vadodara,87.0
25732,0,3,1500.0,Chennai,120.0
12278,1,3,1500.0,Vadodara,30.0
18307,0,2,1500.0,Visakhapatnam,51.0
15380,0,3,1500.0,Ranchi,45.0
8053,0,3,1500.0,Ghaziabad,78.0
11086,0,3,1500.0,Bangalore,60.0
25261,0,3,1500.0,Surendranagar,33.0
11124,0,3,1500.0,Ernakulam,60.0
15443,0,3,1500.0,Noida,87.0
17815,0,3,1500.0,Jaipur,60.0
15565,0,3,1500.0,Bangalore,84.0
5142,1,3,1500.0,Pune,63.9
16314,0,3,1500.0,Jodhpur,75.0
22198,1,3,1500.0,Chennai,69.0
25562,1,3,1500.0,Surat,60.0
7700,0,3,1499.925004,Kolkata,100.0
28143,0,2,1499.9147779999998,Pune,88.0
15680,0,3,1499.91177,Noida,85.0
26427,0,3,1499.91177,Ranchi,85.0
28100,0,3,1499.892865,Jamshedpur,70.0
10269,0,3,1499.892865,Thrissur,70.0
25184,0,3,1499.888068,Chennai,67.0
11757,0,3,1499.863649,Jaipur,55.0
15264,0,3,1499.846954,Jaipur,98.0
3198,0,2,1499.842122,Bangalore,95.0
4569,0,3,1499.812523,Jaipur,40.0
15292,1,3,1499.666741,Solan,67.5
5514,0,3,1499.659168,Durgapur,44.0
3948,1,3,1499.250375,Bangalore,130.0
23887,0,3,1499.18633,Kolkata,73.7
2136,1,3,1499.115044,Jaipur,84.7
3013,0,3,1499.000666,Chennai,90.0
14362,0,3,1498.963483,Pune,94.0
27268,0,2,1498.637602,Bangalore,88.0
25502,0,3,1498.5830970000002,Chennai,89.9
8188,0,3,1498.287671,Bangalore,70.0
27214,0,1,1498.25784,Lalitpur,17.2
10865,0,3,1498.249125,Noida,59.9
24197,0,3,1498.229365,Jamshedpur,55.0
7376,0,2,1498.127341,Coimbatore,120.0
5386,0,3,1498.113208,Jaipur,39.7
17322,0,3,1498.067743,Bangalore,65.9
6565,1,3,1497.984774,Noida,66.9
22363,0,3,1497.75337,Bangalore,120.0
22494,1,3,1497.75337,Lucknow,120.0
9214,0,3,1497.222222,Bangalore,53.9
10711,0,3,1497.142857,Bangalore,52.4
7862,0,3,1496.68591,Pune,140.0
19317,0,3,1496.525922,Chennai,140.0
17978,1,3,1496.525922,Lalitpur,140.0
18074,0,2,1496.296296,Lalitpur,20.2
27638,0,2,1496.296296,Lalitpur,20.2
9679,0,3,1496.259352,Faridabad,48.0
27705,0,2,1495.546179,Jabalpur,31.9
19373,0,3,1495.51346,Bhiwadi,30.0
534,0,3,1495.35923,Sonipat,43.5
15550,0,3,1495.2841039999998,Noida,65.0
13968,1,3,1495.2841039999998,Ghaziabad,65.0
29251,1,3,1495.215311,Noida,75.0
3828,1,3,1495.204062,Noida,79.5
22865,1,3,1495.170877,Noida,80.5
762,1,3,1495.162709,Noida,85.0
2651,1,3,1495.056667,Noida,62.0
6,0,3,1495.053957,Jaipur,66.5
2098,0,3,1495.016611,Bangalore,90.0
5726,0,3,1495.016611,Faridabad,49.5
10174,1,3,1495.016611,Noida,90.0
27227,0,3,1494.986326,Kochi,82.0
1568,1,3,1494.7947359999998,Noida,76.1
6125,1,3,1494.768311,Bangalore,140.0
12435,0,3,1494.768311,Kochi,80.0
28212,0,3,1494.768311,Bangalore,120.0
27645,1,3,1494.285714,Mangalore,52.3
18070,0,3,1494.209936,Bangalore,80.0
13152,0,3,1494.159196,Bangalore,110.0
10210,0,3,1494.023904,Bangalore,120.0
17330,0,3,1493.333333,Jaipur,44.8
20804,0,2,1493.295408,Bangalore,73.5
4752,0,3,1493.2802390000002,Kochi,60.0
19941,0,3,1493.129771,Faridabad,48.9
18175,0,3,1492.708692,Maharashtra,130.0
1137,1,3,1492.537313,Bangalore,100.0
11913,1,3,1492.537313,Maharashtra,100.0
5240,0,2,1492.537313,Bhubaneswar,100.0
8412,1,3,1492.132393,Ghaziabad,55.0
2358,1,3,1491.712707,Alwar,27.0
11244,0,3,1491.22807,Kolkata,170.0
9929,1,3,1491.083471,Pune,99.5
15335,0,3,1490.941491,Ranchi,50.2
16937,1,3,1490.729526,Mumbai,160.0
20093,0,3,1490.630324,Jaipur,35.0
377,0,3,1490.312966,Vijayawada,60.0
25472,1,3,1490.256018,Pune,78.0
8956,0,3,1490.2264369999998,Pune,77.0
28455,0,3,1490.220428,Jaipur,48.0
24500,1,3,1490.182328,Bhubaneswar,85.0
17569,0,3,1490.182328,Kolkata,85.0
4890,0,3,1490.164912,Madurai,75.0
23772,0,3,1490.1421369999998,Bangalore,65.0
15082,0,3,1490.1421369999998,Bangalore,65.0
16405,1,3,1490.066225,Faridabad,9.0
23143,0,3,1490.066225,Bangalore,90.0
3641,0,3,1490.041052,Pune,98.0
18196,0,3,1490.01968,Bangalore,53.0
11514,0,3,1489.995743,Jaipur,35.0
1822,1,3,1489.909251,Bangalore,110.0
1955,1,3,1489.772289,Bangalore,77.2
23374,1,3,1489.716509,Bilaspur,26.8
9063,1,2,1489.629884,Gurgaon,130.0
19565,0,3,1489.533011,Jaipur,37.0
653,0,3,1489.489489,Bhiwadi,24.8
22572,0,3,1489.361702,Maharashtra,140.0
6139,0,3,1489.288578,Bangalore,130.0
1677,0,3,1489.212008,Chennai,63.5
4234,1,2,1489.129356,Gurgaon,150.0
8279,1,3,1489.108911,Chandigarh,75.2
9739,0,3,1489.028213,Ghaziabad,95.0
6619,0,3,1489.018489,Kochi,120.0
13555,0,3,1488.833747,Ghaziabad,90.0
21032,1,4,1488.182083,Faridabad,51.0
10047,0,2,1488.12005,Jaipur,35.7
27664,0,3,1488.095238,Pune,120.0
23959,0,3,1488.095238,Chandigarh,120.0
21943,0,3,1488.095238,Bangalore,90.0
2422,0,3,1487.910725,Nagpur,120.0
19202,0,3,1487.726258,Indore,60.0
7567,0,2,1487.5,Jaipur,35.7
9196,0,2,1487.462813,Jaipur,35.0
99,0,2,1487.357462,Jaipur,30.0
16578,0,3,1487.173132,Kolkata,120.0
27208,0,3,1487.062556,Pune,150.0
3844,0,2,1486.988848,Jaipur,32.0
27631,0,2,1486.880466,Jaipur,35.7
17117,0,3,1486.761711,Bangalore,73.0
21310,1,3,1486.486486,Pune,110.0
4312,1,3,1486.403777,Lalitpur,170.0
5800,0,3,1486.403777,Mumbai,170.0
18123,0,2,1486.298189,Jaipur,32.0
10775,0,3,1486.199575,Madurai,70.0
9176,0,3,1486.084842,Chandigarh,55.0
9415,1,3,1486.013986,Vadodara,34.0
19737,1,3,1486.000313,Mumbai,190.0
22412,0,2,1485.884101,Bangalore,130.0
20111,0,3,1485.689316,Pune,68.0
20456,0,3,1485.393629,Goa,90.0
14309,0,2,1485.385721,Jaipur,31.0
22604,0,3,1485.282204,Pune,110.0
3543,1,3,1485.275288,Noida,58.0
4410,0,3,1485.253554,Vijayawada,70.0
18869,1,3,1485.249237,Bangalore,73.0
21486,1,3,1485.232068,Chandigarh,52.8
9071,0,3,1485.148515,Palakkad,60.0
22102,1,3,1485.009807,Faridabad,53.0
815,1,3,1485.009807,Chandigarh,53.0
13923,0,3,1485.001485,Tirupati,50.0
14737,0,3,1484.88121,Ghaziabad,55.0
14416,1,3,1484.7809949999998,Panchkula,60.0
5823,1,3,1484.593838,Chandigarh,53.0
8814,1,3,1484.56057,Lalitpur,150.0
23927,0,3,1484.431571,Patna,41.0
8115,1,3,1484.162896,Gurgaon,82.0
10213,0,3,1484.143103,Kolkata,95.0
6700,1,3,1483.86299,Bangalore,120.0
3470,0,3,1483.858031,Chennai,74.0
18466,1,3,1483.429774,Ranchi,56.4
20625,0,3,1483.244827,Bangalore,81.0
16535,0,3,1483.1981460000002,Ghaziabad,51.2
11971,1,3,1483.136936,Pune,73.0
26742,0,3,1482.937288,Bangalore,83.0
24372,0,3,1482.799526,Maharashtra,150.0
25278,0,3,1482.679606,Mumbai,110.0
19592,1,3,1482.479784,Bangalore,110.0
8415,0,3,1482.213439,Bangalore,120.0
757,0,3,1482.030382,Bangalore,120.0
8796,0,3,1481.700993,Chennai,100.0
12738,1,3,1481.578947,Patna,56.3
27211,0,3,1481.481481,Noida,100.0
12020,1,3,1481.481481,Bangalore,100.0
16796,0,2,1481.2986050000002,Bangalore,120.0
23227,1,3,1481.246027,Mohali,69.9
4923,1,3,1481.168007,Mohali,70.0
8532,1,3,1481.158789,Mohali,68.0
29056,1,2,1481.004507,Gurgaon,69.0
9449,0,3,1480.974541,Bhubaneswar,54.1
20980,0,2,1480.541455,Hoshiarpur,35.0
28547,1,3,1480.484522,Agra,44.0
16161,1,3,1480.484522,Ghaziabad,44.0
21990,0,2,1480.437081,Jamshedpur,42.0
26483,0,3,1480.347116,Ranchi,58.0
11020,0,3,1480.306635,Bhubaneswar,56.0
9237,0,3,1480.300615,Kochi,65.0
29336,0,2,1480.263158,Jamshedpur,45.0
7021,0,3,1480.263158,Bangalore,72.0
5077,0,3,1480.263158,Chennai,81.0
24800,1,2,1480.263158,Dehradun,63.0
12165,0,3,1480.228378,Kolkata,70.0
7781,1,2,1480.220068,Dehradun,56.5
12348,1,2,1480.191554,Dehradun,68.0
22928,0,3,1480.191554,Kolkata,68.0
18267,0,3,1480.165779,Kolkata,50.0
27035,1,3,1480.165779,Noida,75.0
8596,0,3,1480.165779,Lucknow,50.0
8911,1,3,1480.165779,Noida,75.0
12992,1,3,1480.165779,Pune,100.0
10539,0,3,1480.165779,Maharashtra,75.0
4254,0,2,1480.132073,Pune,130.0
17496,0,3,1480.129765,Mohali,73.0
12780,0,2,1480.129765,Mysore,73.0
22832,1,3,1480.111008,Bangalore,80.0
17833,0,3,1480.111008,Ranchi,48.0
7933,0,3,1480.090814,Ghaziabad,84.75
26698,0,2,1480.086114,Amravati,55.0
20956,0,3,1480.0818769999998,Gurgaon,94.0
22644,0,2,1480.0818769999998,Gurgaon,94.0
5795,1,3,1480.062685,Ghaziabad,85.0
19524,0,3,1480.062685,Ghaziabad,85.0
5063,0,3,1480.062685,Bangalore,85.0
25606,1,2,1480.05148,Ghaziabad,69.0
26268,0,3,1480.05148,Kolkata,69.0
378,0,3,1480.019734,Jaipur,60.0
18396,0,3,1480.019734,Kanpur,150.0
6712,0,3,1480.019734,Bangalore,90.0
17968,0,3,1480.019734,Pune,120.0
17861,1,3,1480.0,Ghaziabad,44.4
19292,1,3,1479.951816,Bangalore,86.0
2724,0,2,1479.885057,Dehradun,51.5
1475,1,3,1479.869423,Noida,68.0
12133,1,3,1479.8598949999998,Ghaziabad,84.5
27182,0,3,1479.805014,Vijayawada,85.0
24143,0,3,1479.681979,Bangalore,67.0
25572,0,3,1479.62963,Visakhapatnam,79.9
15857,1,2,1479.532164,Dehradun,50.6
12692,1,3,1479.394153,Vadodara,42.0
12349,0,3,1479.13365,Pune,140.0
25298,0,3,1479.013991,Jaipur,44.4
1700,0,3,1478.8524109999998,Vadodara,50.0
14359,0,3,1478.798853,Bangalore,98.0
4156,0,3,1478.785121,Bangalore,130.0
24563,1,3,1478.743068,Noida,160.0
13409,0,3,1478.725878,Kolkata,63.6
18478,1,3,1478.5161460000002,Lucknow,55.4
23626,0,3,1478.373144,Ghaziabad,45.8
1565,1,2,1478.237065,Chandigarh,54.0
27835,0,2,1478.1966,Chandigarh,60.0
18039,0,3,1478.123768,Bangalore,75.0
27596,1,3,1478.123768,Pune,75.0
3758,1,3,1477.759716,Bangalore,100.0
11060,1,3,1477.272727,Haridwar,39.0
14105,0,3,1476.968522,Mumbai,160.0
21527,1,3,1476.93706,Bangalore,65.0
22929,0,3,1476.708283,Bangalore,110.0
13300,0,3,1476.559616,Lalitpur,120.0
25165,1,2,1476.232654,Gurgaon,100.0
27260,1,3,1476.207016,Bangalore,85.0
25783,0,3,1476.186776,Lalitpur,190.0
5993,0,2,1476.173415,Faridabad,41.2
13287,0,3,1476.101218,Ghaziabad,63.0
10461,0,3,1476.098558,Bangalore,130.0
23582,1,3,1476.01476,Mumbai,180.0
12874,0,2,1476.01476,Pune,68.0
14482,0,3,1475.548061,Vizianagaram,35.0
1406,1,3,1475.461082,Bhubaneswar,47.2
10749,1,3,1475.409836,Jaipur,45.0
3792,1,3,1475.409836,Ghaziabad,45.0
14009,0,3,1475.361464,Pune,100.0
28105,0,2,1475.304682,Ghaziabad,46.0
11164,0,4,1475.304682,Aligarh,46.0
7728,0,3,1475.288911,Bangalore,60.0
